DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,0,0,0,0,0
  Feb 16  ,0,0,0,0,0
  Feb 17  ,0,0,0,0,0
  Feb 18  ,0,0,0,0,0
  Feb 19  ,0,0,0,0,0
  Feb 20  ,0,0,0,0,0
  Feb 21  ,0,0,0,0,0
  Feb 22  ,0,0,0,0,0
  Feb 23  ,0,0,0,0,0
  Feb 24  ,0,0,0,0,0
  Feb 25  ,1,0,0,0,0
  Feb 26  ,1,0,0,0,0
  Feb 27  ,1,0,0,0,0
  Feb 28  ,1,0,0,0,0
  Feb 29  ,2,1,0,0,0
  Mar 01  ,2,0,0,0,0
  Mar 02  ,2,0,0,0,0
  Mar 03  ,2,0,0,0,0
  Mar 04  ,3,1,0,0,0
  Mar 05  ,8,5,0,0,0
  Mar 06  ,13,5,0,0,0
  Mar 07  ,19,6,0,0,0
  Mar 08  ,25,6,0,0,nan
  Mar 09  ,25,0,0,0,nan
  Mar 10  ,34,9,0,0,nan
  Mar 11  ,52,18,0,0,nan
  Mar 12  ,77,25,0,0,nan
  Mar 13  ,151,74,0,0,100
  Mar 14  ,151,0,0,0,100
  Mar 15  ,200,49,0,0,100
  Mar 16  ,234,34,0,0,100
  Mar 17  ,346,112,1,33.33,66.67
  Mar 18  ,529,183,4,66.67,33.33
  Mar 19  ,640,111,7,77.78,22.22
  Mar 20  ,970,330,11,84.62,15.38
  Mar 21  ,1178,208,18,90,10
  Mar 22  ,1546,368,25,92.59,7.41
  Mar 23  ,1924,378,34,94.44,5.56
  Mar 24  ,2247,323,46,95.83,4.17
  Mar 25  ,2554,307,59,96.72,3.28
  Mar 26  ,2985,431,77,92.77,7.23
  Mar 27  ,3417,432,92,93.88,6.12
  Mar 28  ,3904,487,114,95,5
  Mar 29  ,4256,352,136,95.77,4.23
  Mar 30  ,4630,374,163,57.6,42.4
  Mar 31  ,5717,1087,201,61.28,38.72
  Apr 01  ,6880,1163,242,65.58,34.42
  Apr 02  ,8044,1164,324,71.84,28.16
  Apr 03  ,9194,1150,363,74.08,25.92
  Apr 04  ,10360,1166,445,77.8,22.2
  Apr 05  ,11254,894,486,79.28,20.72
  Apr 06  ,12183,929,564,81.62,18.38
  Apr 07  ,14034,1851,686,84.38,15.62
  Apr 08  ,16188,2154,820,86.59,13.41
  Apr 09  ,18145,1957,954,84.65,15.35
  Apr 10  ,19789,1644,1068,86.06,13.94
  Apr 11  ,20962,1173,1140,86.82,13.18
  Apr 12  ,22192,1230,1223,87.61,12.39
  Apr 13  ,23430,1238,1328,88.47,11.53
  Apr 14  ,25262,1832,1532,9.85,90.15
  Apr 15  ,28610,3348,1757,11.13,88.87
  Apr 16  ,30683,2073,1947,12.19,87.81
  Apr 17  ,33682,2999,2141,13.24,86.76
  Apr 18  ,36722,3040,2361,14.41,85.59
  Apr 19  ,38654,1932,2462,10.01,89.99
  Apr 20  ,40743,2089,2587,10.47,89.53
  Apr 21  ,43079,2336,2741,10.13,89.87
  Apr 22  ,45757,2678,2906,10.3,89.7
  Apr 23  ,49492,3735,3313,11.09,88.91
  Apr 24  ,52995,3503,3670,11.72,88.28
  Apr 25  ,59196,6201,4045,12.18,87.82
  Apr 26  ,62859,3663,4271,12.41,87.59
  Apr 27  ,66501,3642,4543,12.73,87.27
  Apr 28  ,72899,6398,5063,13.46,86.54
  Apr 29  ,79361,6462,5511,13.9,86.1
  Apr 30  ,85380,6019,5901,14.11,85.89
  May 01  ,92109,6729,6410,14.42,85.58
  May 02  ,96559,4450,6750,14.15,85.85
  May 03  ,101147,4588,7025,14.05,85.95
  May 04  ,108266,7119,7343,13.81,86.19
  May 05  ,114715,6449,7921,14.11,85.89
  May 06  ,126611,11896,8588,14.32,85.68
  May 07  ,135693,9082,9188,14.24,85.76
  May 08  ,145892,10199,9992,14.42,85.58
  May 09  ,156061,10169,10656,14.73,85.27
  May 10  ,162699,6638,11123,14.62,85.38
  May 11  ,169143,6444,11625,14.71,85.29
  May 12  ,177602,8459,12404,14.59,85.41
  May 13  ,189157,11555,13158,14.37,85.63
  May 14  ,202918,13761,13993,14.97,85.03
  May 15  ,218223,15305,14817,14.85,85.15
  May 16  ,233142,14919,15633,14.85,85.15
  May 17  ,241080,7938,16118,14.62,85.38
  May 18  ,255368,14288,16853,14.37,85.63
  May 19  ,271885,16517,17983,14.41,85.59
  May 20  ,293357,21472,18894,13.94,86.06
  May 21  ,310921,17564,20082,13.75,86.25
  May 22  ,330890,19969,21048,13.45,86.55
  May 23  ,347398,16508,22013,13.37,86.63
  May 24  ,363618,16220,22716,13.16,86.84
  May 25  ,376669,13051,23522,13.26,86.74
  May 26  ,392360,15691,24549,13.4,86.6
  May 27  ,414661,22301,25697,13.36,86.64
  May 28  ,438812,24151,26764,12.17,87.83
  May 29  ,468338,29526,27944,12.64,87.36
  May 30  ,498440,30102,28834,12.31,87.69
  May 31  ,514849,16409,29314,12.43,87.57
