,,,,,,,,,,,,
"Country,",Total,New,Total,New,Total,Active,"Serious,",Tot Cases/,Deaths/,Total,Tests/,Population
Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop,
World,"6,262,805","3,556","373,855",158,"2,846,523","3,042,427","53,409",803,48,,,
USA,"1,837,170",,"106,195",,"599,867","1,131,108","17,075","5,553",321,"17,672,567","53,417","330,843,477"
Brazil,"514,849",,"29,314",,"206,555","278,980","8,318","2,424",138,"930,013","4,378","212,434,518"
Russia,"405,843",,"4,693",,"171,883","229,267","2,300","2,781",32,"10,643,124","72,933","145,929,507"
Spain,"286,509",,"27,127",,"196,958","62,424",617,"6,128",580,"4,063,843","86,921","46,753,345"
UK,"274,762",,"38,489",,N/A,N/A,"1,559","4,049",567,"4,285,738","63,158","67,856,881"
Italy,"232,997",,"33,415",,"157,507","42,075",435,"3,853",553,"3,878,739","64,144","60,468,778"
India,"190,609",,"5,408",,"91,852","93,349","8,944",138,4,"3,737,027","2,710","1,378,863,296"
France,"188,882",,"28,802",,"68,355","91,725","1,319","2,894",441,"1,384,633","21,217","65,261,942"
Germany,"183,494",,"8,605",,"165,200","9,689",702,"2,191",103,"3,952,971","47,193","83,762,346"
Peru,"164,476",,"4,506",,"67,208","92,762",988,"4,994",137,"1,058,874","32,153","32,932,217"
Turkey,"163,942",,"4,540",,"127,973","31,429",648,"1,946",54,"2,039,194","24,201","84,262,291"
Iran,"151,466",,"7,797",,"118,848","24,821","2,527","1,805",93,"935,894","11,155","83,900,826"
Chile,"99,688",,"1,054",,"42,727","55,907","1,383","5,219",55,"582,440","30,490","19,102,509"
Canada,"90,947",,"7,295",,"48,879","34,773","1,641","2,411",193,"1,665,831","44,169","37,714,510"
Mexico,"90,664","3,152","9,930",151,"64,326","16,408",378,704,77,"270,992","2,104","128,818,338"
Saudi Arabia,"85,261",,503,,"62,442","22,316",384,"2,452",14,"822,769","23,666","34,766,601"
Pakistan,"69,496",,"1,483",,"25,271","42,742",111,315,7,"547,030","2,481","220,509,385"
Belgium,"58,381",,"9,467",,"15,887","33,027",168,"5,039",817,"866,497","74,791","11,585,527"
Qatar,"56,910",,38,,"30,290","26,582",232,"19,783",13,"222,069","77,194","2,876,776"
Bangladesh,"47,153",,650,,"9,781","36,722",1,287,4,"308,940","1,877","164,551,275"
Netherlands,"46,442",,"5,956",,N/A,N/A,159,"2,711",348,"349,150","20,380","17,131,835"
Belarus,"42,556",,235,,"18,514","23,807",92,"4,503",25,"541,093","57,261","9,449,568"
Ecuador,"39,098",,"3,358",,"19,592","16,148",220,"2,219",191,"117,422","6,664","17,619,752"
Sweden,"37,542",,"4,395",,"4,971","28,176",228,"3,719",435,"238,800","23,657","10,094,088"
Singapore,"34,884",,23,,"21,699","13,162",8,"5,967",4,"334,691","57,246","5,846,520"
UAE,"34,557",,264,,"17,932","16,361",1,"3,498",27,"2,110,493","213,608","9,880,208"
South Africa,"32,683",,683,,"16,809","15,191",128,552,12,"725,125","12,239","59,244,691"
Portugal,"32,500",,"1,410",,"19,409","11,681",64,"3,187",138,"812,415","79,656","10,199,012"
Switzerland,"30,862",,"1,920",,"28,500",442,28,"3,568",222,"397,691","45,979","8,649,383"
Colombia,"29,383",,939,,"8,543","19,901",136,578,18,"319,779","6,290","50,837,039"
Kuwait,"27,043",,212,,"11,386","15,445",200,"6,341",50,"290,013","67,997","4,265,091"
Indonesia,"26,473",,"1,613",,"7,308","17,552",,97,6,"323,376","1,183","273,279,215"
Ireland,"24,990",,"1,652",,"22,089","1,249",36,"5,066",335,"325,795","66,043","4,933,108"
Egypt,"24,985",,959,,"6,037","17,989",41,245,9,"135,000","1,321","102,162,663"
Poland,"23,786",,"1,064",,"11,271","11,451",160,628,28,"915,546","24,189","37,849,860"
Ukraine,"23,672",,708,,"9,538","13,426",278,541,16,"356,565","8,149","43,753,702"
Romania,"19,257",,"1,266",,"13,256","4,735",160,"1,000",66,"439,197","22,819","19,247,388"
Philippines,"18,086",,957,,"3,909","13,220",73,165,9,"347,592","3,176","109,455,699"
Dominican Republic,"17,285",,502,,"10,559","6,224",110,"1,595",46,"81,647","7,533","10,838,750"
Israel,"17,071",,285,,"14,812","1,974",39,"1,856",31,"568,452","61,804","9,197,590"
Japan,"16,851",,891,,"14,459","1,501",119,133,7,"290,436","2,296","126,506,424"
Argentina,"16,851",,539,,"5,336","10,976",259,373,12,"160,070","3,544","45,161,038"
Austria,"16,731",,668,,"15,593",470,27,"1,859",74,"448,534","49,825","9,002,188"
Afghanistan,"15,205",,257,,"1,328","13,620",19,391,7,"38,460",990,"38,848,565"
Panama,"13,463",,336,,"9,514","3,613",79,"3,125",78,"67,730","15,719","4,308,839"
Denmark,"11,669",,574,,"10,362",733,20,"2,015",99,"628,965","108,619","5,790,554"
S. Korea,"11,503",35,271,1,"10,422",810,15,224,5,"921,391","17,973","51,265,682"
Oman,"11,437",,49,,"2,682","8,706",31,"2,245",10,"100,181","19,664","5,094,596"
Serbia,"11,412",,243,,"6,698","4,471",10,"1,306",28,"245,985","28,144","8,740,077"
Bahrain,"11,398",,19,,"6,673","4,706",12,"6,721",11,"314,823","185,651","1,695,780"
Kazakhstan,"10,858",,40,,"5,404","5,414",62,579,2,"812,881","43,336","18,757,562"
Nigeria,"10,162",,287,,"3,007","6,868",7,49,1,"60,825",296,"205,668,183"
Bolivia,"9,592",,310,,889,"8,393",3,823,27,"28,239","2,422","11,659,305"
Algeria,"9,394",,653,,"5,748","2,993",23,215,15,,,"43,780,936"
Armenia,"9,282",,131,,"3,386","5,765",10,"3,133",44,"58,065","19,598","2,962,800"
Czechia,"9,268",,320,,"6,558","2,390",15,866,30,"439,744","41,069","10,707,393"
Norway,"8,440",,236,,"7,727",477,8,"1,558",44,"245,352","45,287","5,417,721"
Moldova,"8,251",,295,,"4,581","3,375",251,"2,045",73,"40,565","10,054","4,034,692"
Ghana,"7,881",,36,,"2,841","5,004",5,254,1,"214,956","6,931","31,014,508"
Malaysia,"7,819",,115,,"6,353","1,351",9,242,4,"553,183","17,110","32,330,462"
Morocco,"7,807",,205,,"5,459","2,143",18,212,6,"209,139","5,672","36,873,293"
Australia,"7,195",,103,,"6,614",478,4,282,4,"1,454,568","57,098","25,474,721"
Finland,"6,859",,320,,"5,500","1,039",10,"1,238",58,"184,408","33,286","5,540,033"
Iraq,"6,439",,205,,"3,156","3,078",36,160,5,"211,485","5,269","40,140,397"
Cameroon,"5,904",,191,,"3,568","2,145",28,223,7,,,"26,484,855"
Azerbaijan,"5,494",,63,,"3,428","2,003",42,542,6,"294,264","29,044","10,131,531"
Honduras,"5,094",,201,,536,"4,357",13,515,20,"14,790","1,495","9,890,844"
Guatemala,"5,087",348,108,6,735,"4,244",5,284,6,"31,427","1,757","17,886,146"
Sudan,"5,026",,286,,"1,423","3,317",,115,7,401,9,"43,755,620"
Luxembourg,"4,018",,110,,"3,833",75,3,"6,428",176,"75,432","120,675","625,086"
Tajikistan,"3,930",,47,,"2,004","1,879",,413,5,,,"9,518,158"
Hungary,"3,876",,526,,"2,147","1,203",25,401,54,"185,980","19,248","9,662,256"
Guinea,"3,706",,23,,"2,030","1,653",24,283,2,"14,407","1,100","13,099,458"
Senegal,"3,645",,42,,"1,801","1,802",14,218,3,"42,105","2,521","16,702,826"
Uzbekistan,"3,623",,15,,"2,837",771,10,108,0.4,"460,000","13,761","33,427,196"
Djibouti,"3,354",,24,,"1,504","1,826",,"3,399",24,"26,366","26,720","986,755"
Thailand,"3,081",,57,,"2,963",61,1,44,0.8,"375,453","5,380","69,785,922"
DRC,"3,070",,72,,448,"2,550",,34,0.8,,,"89,301,493"
Greece,"2,917",,175,,"1,374","1,368",13,280,17,"180,518","17,313","10,426,947"
Ivory Coast,"2,833",,33,,"1,435","1,365",,108,1,"27,039","1,027","26,318,014"
Gabon,"2,655",,17,,722,"1,916",15,"1,195",8,"14,122","6,359","2,220,923"
El Salvador,"2,517",,46,,"1,040","1,431",53,388,7,"89,358","13,782","6,483,535"
Bulgaria,"2,513",,140,,"1,074","1,299",17,361,20,"81,348","11,701","6,952,375"
Bosnia and Herzegovina,"2,510",,153,,"1,862",495,4,765,47,"65,220","19,870","3,282,366"
Croatia,"2,246",,103,,"2,072",71,4,547,25,"66,405","16,168","4,107,186"
North Macedonia,"2,226",,133,,"1,552",541,21,"1,068",64,"29,575","14,196","2,083,381"
Cuba,"2,045",,83,,"1,809",153,3,181,7,"103,123","9,104","11,327,160"
Somalia,"1,976",,78,,348,"1,550",2,125,5,,,"15,851,530"
Kenya,"1,962",,64,,478,"1,420",7,37,1,"78,536","1,463","53,663,836"
Estonia,"1,869",,68,,"1,624",177,,"1,409",51,"83,440","62,904","1,326,464"
Haiti,"1,865",,41,,24,"1,800",,164,4,"4,577",402,"11,390,662"
Iceland,"1,806",,10,,"1,794",2,,"5,295",29,"61,122","179,211","341,061"
Maldives,"1,773",,5,,453,"1,315",9,"3,285",9,"11,775","21,818","539,703"
Kyrgyzstan,"1,748",,16,,"1,170",562,4,268,2,"111,859","17,170","6,514,756"
