age,行标签,计数项:age
30,2,2
47,3,1
49,4,1
47,7,1
50,10,1
42,11,1
59,15,1
30,16,1
39,18,1
38,19,2
45,20,2
33,21,3
19,22,10
37,23,3
39,24,5
32,25,9
45,26,2
45,27,6
18,28,8
56,29,6
42,30,13
33,31,10
44,32,12
65,33,12
21,34,10
41,35,12
44,36,11
30,37,12
70,38,6
43,39,9
31,40,11
43,41,8
24,42,11
40,43,11
66,44,7
65,45,9
36,46,8
10,47,10
63,48,5
37,49,13
78,50,12
76,51,7
48,52,9
66,53,4
66,54,3
63,55,8
62,56,13
49,57,3
46,58,3
34,59,3
41,60,5
72,61,2
20,62,6
54,63,5
33,64,4
49,65,6
42,66,9
33,67,2
2,68,4
29,69,1
62,70,4
61,71,1
20,72,3
51,73,3
50,75,1
72,76,1
80,77,1
49,78,1
69,80,2
66,82,1
32,88,1
28,", Cremo",1
55,", Sondrio",2
68,da,3
30,gano,1
34,gawa,2
30,gawa Prefecture,369
50,goya City,16
39,h Bahiyah,1
56,i,1
62,jaf,1
63,kafurano,3
62,m,4
57,n,49
35,n City,8
40,nchang City,2
30,nchong City,6
30,njing City,1
37,nning City,26
56,nyang City,1
50,ples,1
35,radura Hospital,12
36,ry Islands,3
35,tio,45
27,wa,1
40,(空白),
42,总计,953
33,,
40,,
50,,
42,,
66,,
52,,
29,,
28,,
22,,
32,,
42,,
23,,
49,,
62,,
65,,
56,,
35,,
88,,
28,,
31,,
50,,
48,,
36,,
37,,
19,,
60,,
58,,
29,,
47,,
52,,
51,,
53,,
39,,
34,,
49,,
46,,
46,,
40,,
51,,
37,,
55,,
32,,
24,,
39,,
25,,
56,,
44,,
50,,
42,,
43,,
22,,
43,,
51,,
38,,
59,,
60,,
35,,
25,,
49,,
41,,
57,,
26,,
30,,
64,,
33,,
28,,
41,,
42,,
24,,
32,,
34,,
63,,
58,,
49,,
27,,
68,,
45,,
65,,
27,,
30,,
31,,
40,,
30,,
65,,
2,,
11,,
32,,
66,,
53,,
37,,
35,,
55,,
55,,
73,,
68,,
61,,
33,,
60,,
35,,
66,,
28,,
40,,
35,,
43,,
53,,
50,,
51,,
73,,
36,,
54,,
56,,
40,,
43,,
48,,
54,,
47,,
55,,
47,,
46,,
47,,
41,,
36,,
70,,
52,,
44,,
47,,
58,,
39,,
21,,
42,,
7,,
43,,
68,,
64,,
21,,
60,,
39,,
41,,
31,,
27,,
82,,
34,,
22,,
67,,
52,,
43,,
56,,
15,,
30,,
33,,
55,,
23,,
28,,
49,,
25,,
40,,
59,,
38,,
37,,
49,,
43,,
39,,
41,,
67,,
52,,
31,,
34,,
24,,
47,,
16,,
32,,
32,,
25,,
52,,
42,,
51,,
43,,
36,,
41,,
25,,
46,,
50,,
36,,
29,,
46,,
50,,
36,,
36,,
32,,
64,,
70,,
25,,
33,,
50,,
44,,
22,,
22,,
22,,
22,,
24,,
22,,
30,,
30,,
64,,
52,,
45,,
40,,
52,,
46,,
49,,
36,,
29,,
26,,
27,,
46,,
66,,
3,,
45,,
56,,
56,,
56,,
56,,
35,,
36,,
32,,
4,,
52,,
56,,
49,,
34,,
71,,
22,,
47,,
35,,
37,,
38,,
42,,
29,,
23,,
34,,
25,,
28,,
44,,
33,,
49,,
80,,
45,,
77,,
25,,
55,,
33,,
44,,
22,,
50,,
35,,
72,,
73,,
25,,
31,,
34,,
33,,
37,,
75,,
39,,
31,,
47,,
38,,
31,,
28,,
37,,
51,,
45,,
27,,
32,,
35,,
34,,
31,,
66,,
48,,
32,,
60,,
38,,
65,,
48,,
63,,
37,,
40,,
57,,
56,,
55,,
31,,
43,,
70,,
53,,
45,,
62,,
37,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
