DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,571,0,17,43.18,56.82
  Feb 16  ,830,259,25,40.21,59.79
  Feb 17  ,1287,457,41,35.46,64.54
  Feb 18  ,1975,688,56,32.81,67.19
  Feb 19  ,2744,769,80,29.23,70.77
  Feb 20  ,4515,1771,106,26.05,73.95
  Feb 21  ,5974,1459,132,23.44,76.56
  Feb 22  ,7711,1737,170,21.68,78.32
  Feb 23  ,9692,1981,213,20.27,79.73
  Feb 24  ,11791,2099,259,18.99,81.01
  Feb 25  ,14380,2589,304,17.56,82.44
  Feb 26  ,17205,2825,361,17.03,82.97
  Feb 27  ,20440,3235,425,15.83,84.17
  Feb 28  ,24324,3884,490,15.02,84.98
  Feb 29  ,28018,3694,563,14.03,85.97
  Mar 01  ,31161,3143,636,12.95,87.05
  Mar 02  ,34546,3385,722,12.23,87.77
  Mar 03  ,37198,2652,811,11.59,88.41
  Mar 04  ,40171,2973,908,10.88,89.12
  Mar 05  ,42638,2467,1016,10.19,89.81
  Mar 06  ,44653,2015,1113,9.83,90.17
  Mar 07  ,58761,14108,1259,9.49,90.51
  Mar 08  ,63851,5090,1380,8.91,91.09
  Mar 09  ,66492,2641,1523,8.36,91.64
  Mar 10  ,68500,2008,1665,7.79,92.21
  Mar 11  ,70548,2048,1770,7.17,92.83
  Mar 12  ,72436,1888,1868,6.78,93.22
  Mar 13  ,74185,1749,2004,6.42,93.58
  Mar 14  ,74576,391,2118,6.14,93.86
  Mar 15  ,75465,889,2236,5.87,94.13
  Mar 16  ,76288,823,2345,5.64,94.36
  Mar 17  ,76936,648,2442,5.47,94.53
  Mar 18  ,77150,214,2592,5.36,94.64
  Mar 19  ,77658,508,2663,5.25,94.75
  Mar 20  ,78064,406,2715,5.15,94.85
  Mar 21  ,78497,433,2744,5.05,94.95
  Mar 22  ,78824,327,2788,4.98,95.02
  Mar 23  ,79251,427,2835,4.89,95.11
  Mar 24  ,79824,573,2870,4.8,95.2
  Mar 25  ,80026,202,2912,4.72,95.28
  Mar 26  ,80151,125,2943,4.64,95.36
  Mar 27  ,80270,119,2981,4.56,95.44
  Mar 28  ,80409,139,3012,4.53,95.47
  Mar 29  ,80552,143,3042,4.49,95.51
  Mar 30  ,80651,99,3070,4.44,95.56
  Mar 31  ,80695,44,3097,4.41,95.59
  Apr 01  ,80735,40,3119,4.37,95.63
  Apr 02  ,80754,19,3136,4.34,95.66
  Apr 03  ,80778,24,3158,4.31,95.69
  Apr 04  ,80793,15,3169,4.3,95.7
