DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,12,0,1,20,
  Feb 16  ,12,0,1,20,
  Feb 17  ,12,0,1,16.67,
  Feb 18  ,12,0,1,12.5,
  Feb 19  ,12,0,1,12.5,
  Feb 20  ,12,0,1,12.5,
  Feb 21  ,12,0,1,12.5,
  Feb 22  ,12,0,1,9.09,
  Feb 23  ,12,0,1,9.09,
  Feb 24  ,12,0,1,8.33,
  Feb 25  ,14,2,1,8.33,
  Feb 26  ,18,4,2,15.38,
  Feb 27  ,38,20,2,15.38,
  Feb 28  ,57,19,2,15.38,
  Feb 29  ,100,43,2,14.29,
  Mar 01  ,130,30,2,14.29,
  Mar 02  ,191,61,3,20,
  Mar 03  ,212,21,4,25,
  Mar 04  ,285,73,4,25,
  Mar 05  ,423,138,7,36.84,
  Mar 06  ,653,230,9,42.86,
  Mar 07  ,949,296,16,57.14,
  Mar 08  ,1209,260,19,61.29,
  Mar 09  ,1412,203,30,71.43,
  Mar 10  ,1784,372,33,73.33,
  Mar 11  ,2281,497,48,80,
  Mar 12  ,2876,595,61,83.56,
  Mar 13  ,3661,785,79,86.81,
  Mar 14  ,4499,838,91,88.35,
  Mar 15  ,5423,924,127,91.37,
  Mar 16  ,6633,1210,148,92.5,
  Mar 17  ,7730,1097,175,22.52,
  Mar 18  ,9134,1404,264,30.48,
  Mar 19  ,10995,1861,372,22.32,
  Mar 20  ,12612,1617,450,22.09,
  Mar 21  ,14459,1847,562,26.15,
  Mar 22  ,16018,1559,674,23.45,
  Mar 23  ,19856,3838,860,28.1,
  Mar 24  ,22304,2448,1100,25.11,
  Mar 25  ,25233,2929,1331,25.44,
  Mar 26  ,29155,3922,1696,25.53,
  Mar 27  ,32964,3809,1995,25.93,
  Mar 28  ,37575,4611,2314,28.87,
  Mar 29  ,40174,2599,2606,26.57,
  Mar 30  ,44550,4376,3024,27.61,
  Mar 31  ,52128,7578,3523,27.17,
  Apr 01  ,56989,4861,4032,26.94,
  Apr 02  ,59105,2116,5387,30.24,
  Apr 03  ,76460,17355,6507,31.72,
  Apr 04  ,83019,6559,7560,32.87,
  Apr 05  ,87719,4700,8078,33.3,
  Apr 06  ,90452,2733,8911,34.06,
  Apr 07  ,99180,8728,10328,34.82,
  Apr 08  ,103061,3881,10869,33.84,
  Apr 09  ,107696,4635,12210,34.48,
  Apr 10  ,113927,6231,13197,34.61,
  Apr 11  ,118178,4251,13832,34.39,
  Apr 12  ,120633,2455,14393,34.62,
  Apr 13  ,124298,3665,14967,35.06,
  Apr 14  ,130253,5955,15729,35.32,
  Apr 15  ,133644,3391,17167,35.67,
  Apr 16  ,140772,7128,17920,35.32,
  Apr 17  ,143116,2344,18681,35.18,
  Apr 18  ,146782,3666,19323,34.94,
  Apr 19  ,147844,1062,19718,35.03,
  Apr 20  ,150278,2434,20265,35.14,
  Apr 21  ,153531,3253,20796,34.67,
  Apr 22  ,155944,2413,21340,34.42,
  Apr 23  ,158183,2239,21856,34.18,
  Apr 24  ,159828,1645,22245,33.84,
  Apr 25  ,161488,1660,22614,33.65,
  Apr 26  ,162100,612,22856,33.73,
  Apr 27  ,163273,1173,23293,33.85,
  Apr 28  ,165911,2638,23660,33.54,
  Apr 29  ,166420,509,24087,33.31,
  Apr 30  ,167178,758,24376,33.01,
  May 01  ,167346,168,24594,32.88,
  May 02  ,168396,1050,24760,32.87,
  May 03  ,168693,297,24895,32.9,
  May 04  ,169462,769,25201,32.91,
  May 05  ,170551,1089,25531,32.62,
  May 06  ,174191,3640,25809,32.35,
  May 07  ,174791,600,25987,32.08,
  May 08  ,176079,1288,26230,31.98,
  May 09  ,176658,579,26310,31.95,
  May 10  ,176970,312,26380,31.94,
  May 11  ,177423,453,26643,31.96,
  May 12  ,178060,637,26991,31.84,
  May 13  ,178060,0,27074,31.57,
  May 14  ,178870,810,27425,31.51,
  May 15  ,179506,636,27529,31.29,
  May 16  ,179365,-141,27625,31.15,
  May 17  ,179569,204,28108,31.47,
  May 18  ,179927,358,28239,31.39,
  May 19  ,180809,882,28022,30.93,
  May 20  ,181575,766,28132,30.75,
  May 21  ,181826,251,28215,30.64,
  May 22  ,182219,393,28289,30.58,
  May 23  ,182469,250,28332,30.5,
  May 24  ,182584,115,28367,30.51,
  May 25  ,182942,358,28432,30.37,
  May 26  ,182722,-220,28530,30.22,
  May 27  ,182913,191,28596,30.04,
  May 28  ,186238,3325,28662,29.9,
  May 29  ,186797,559,28714,29.75,
  May 30  ,188625,1828,28771,29.65,
  May 31  ,188882,257,28802,29.6400000000000005684341886080801486968994140625]        },
,,,,\n        {\n            name: \'Recovery Rate\',
,,,,\n            color: \'#8ACA2B\',
,,,,\n            lineWidth: 5,
,,,,\n            data: [80,
,,,,80,
,,,,83.33,
,,,,87.5,
,,,,87.5,
,,,,87.5,
,,,,87.5,
,,,,90.91,
,,,,90.91,
,,,,91.67,
,,,,91.67,
,,,,84.62,
,,,,84.62,
,,,,84.62,
,,,,85.71,
,,,,85.71,
,,,,80,
,,,,75,
,,,,75,
,,,,63.16,
,,,,57.14,
,,,,42.86,
,,,,38.71,
,,,,28.57,
,,,,26.67,
,,,,20,
,,,,16.44,
,,,,13.19,
,,,,11.65,
,,,,8.63,
,,,,7.5,
,,,,77.48,
,,,,69.52,
,,,,77.68,
,,,,77.91,
,,,,73.85,
,,,,76.55,
,,,,71.9,
,,,,74.89,
,,,,74.56,
,,,,74.47,
,,,,74.07,
,,,,71.13,
,,,,73.43,
,,,,72.39,
,,,,72.83,
,,,,73.06,
,,,,69.76,
,,,,68.28,
,,,,67.13,
,,,,66.7,
,,,,65.94,
,,,,65.18,
,,,,66.16,
,,,,65.52,
,,,,65.39,
,,,,65.61,
,,,,65.38,
,,,,64.94,
,,,,64.68,
,,,,64.33,
,,,,64.68,
,,,,64.82,
,,,,65.06,
,,,,64.97,
,,,,64.86,
,,,,65.33,
,,,,65.58,
,,,,65.82,
,,,,66.16,
,,,,66.35,
,,,,66.27,
,,,,66.15,
,,,,66.46,
,,,,66.69,
,,,,66.99,
,,,,67.12,
,,,,67.13,
,,,,67.1,
,,,,67.09,
,,,,67.38,
,,,,67.65,
,,,,67.92,
,,,,68.02,
,,,,68.05,
,,,,68.06,
,,,,68.04,
,,,,68.16,
,,,,68.43,
,,,,68.49,
,,,,68.71,
,,,,68.85,
,,,,68.53,
,,,,68.61,
,,,,69.07,
,,,,69.25,
,,,,69.36,
,,,,69.42,
,,,,69.5,
,,,,69.49,
,,,,69.63,
,,,,69.78,
,,,,69.96,
,,,,70.1,
,,,,70.25,
,,,,70.35,
,,,,70.36,
