DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,16,0,0,0,100
  Feb 16  ,16,0,0,0,100
  Feb 17  ,16,0,0,0,100
  Feb 18  ,16,0,0,0,100
  Feb 19  ,16,0,0,0,100
  Feb 20  ,16,0,0,0,100
  Feb 21  ,16,0,0,0,100
  Feb 22  ,16,0,0,0,100
  Feb 23  ,16,0,0,0,100
  Feb 24  ,16,0,0,0,100
  Feb 25  ,18,2,0,0,100
  Feb 26  ,26,8,0,0,100
  Feb 27  ,48,22,0,0,100
  Feb 28  ,74,26,0,0,100
  Feb 29  ,79,5,0,0,100
  Mar 01  ,130,51,0,0,100
  Mar 02  ,165,35,0,0,100
  Mar 03  ,203,38,0,0,100
  Mar 04  ,262,59,0,0,100
  Mar 05  ,545,283,0,0,100
  Mar 06  ,670,125,0,0,100
  Mar 07  ,800,130,0,0,100
  Mar 08  ,1040,240,0,0,100
  Mar 09  ,1224,184,2,10,90
  Mar 10  ,1565,341,2,10,90
  Mar 11  ,1966,401,3,10.71,89.29
  Mar 12  ,2745,779,6,19.35,80.65
  Mar 13  ,3675,930,8,14.81,85.19
  Mar 14  ,4599,924,9,16.36,83.64
  Mar 15  ,5813,1214,13,22.03,77.97
  Mar 16  ,7272,1459,17,20.24,79.76
  Mar 17  ,9367,2095,26,27.96,72.04
  Mar 18  ,12327,2960,28,21.05,78.95
  Mar 19  ,15320,2993,44,27.67,72.33
  Mar 20  ,19848,4528,68,27.42,72.58
  Mar 21  ,22364,2516,84,28.67,71.33
  Mar 22  ,24873,2509,94,26.11,73.89
  Mar 23  ,29056,4183,123,21.35,78.65
  Mar 24  ,32991,3935,159,4.61,95.39
  Mar 25  ,37323,4332,206,5.49,94.51
  Mar 26  ,43938,6615,267,4.49,95.51
  Mar 27  ,50871,6933,351,5.01,94.99
  Mar 28  ,57695,6824,433,4.86,95.14
  Mar 29  ,62435,4740,541,5.55,94.45
  Mar 30  ,66885,4450,645,4.56,95.44
  Mar 31  ,71808,4923,775,4.59,95.41
  Apr 01  ,77981,6173,931,4.74,95.26
  Apr 02  ,84794,6813,1107,4.7,95.3
  Apr 03  ,91159,6365,1275,4.93,95.07
  Apr 04  ,96092,4933,1444,5.19,94.81
  Apr 05  ,100123,4031,1584,5.23,94.77
  Apr 06  ,103375,3252,1810,5.93,94.07
  Apr 07  ,107663,4288,2016,5.29,94.71
  Apr 08  ,113296,5633,2349,4.83,95.17
  Apr 09  ,118235,4939,2607,4.74,95.26
  Apr 10  ,122171,3936,2736,4.83,95.17
  Apr 11  ,125452,3281,2871,4.76,95.24
  Apr 12  ,127854,2402,3022,4.77,95.23
  Apr 13  ,130072,2218,3194,4.73,95.27
  Apr 14  ,132210,2138,3495,4.87,95.13
  Apr 15  ,134753,2543,3804,4.98,95.02
  Apr 16  ,137698,2945,4052,5,95
  Apr 17  ,141397,3699,4352,4.98,95.02
  Apr 18  ,143724,2327,4538,5.05,94.95
  Apr 19  ,145742,2018,4642,5.01,94.99
  Apr 20  ,147065,1323,4862,5.05,94.95
  Apr 21  ,148453,1388,5086,5.07,94.93
  Apr 22  ,150648,2195,5315,5.08,94.92
  Apr 23  ,153129,2481,5575,5.12,94.88
  Apr 24  ,154999,1870,5760,5.12,94.88
  Apr 25  ,156513,1514,5877,5.08,94.92
  Apr 26  ,157770,1257,5976,5.07,94.93
  Apr 27  ,158758,988,6126,5.08,94.92
  Apr 28  ,159912,1154,6314,5.1,94.9
  Apr 29  ,161539,1627,6467,5.1,94.9
  Apr 30  ,163009,1470,6623,5.09,94.91
  May 01  ,164077,1068,6736,5.04,94.96
  May 02  ,164967,890,6812,5.02,94.98
  May 03  ,165664,697,6866,4.99,95.01
  May 04  ,166152,488,6993,5.01,94.99
  May 05  ,167007,855,6993,4.92,95.08
  May 06  ,168162,1155,7275,5.02,94.98
  May 07  ,169430,1268,7392,5.02,94.98
  May 08  ,170588,1158,7510,5.03,94.97
  May 09  ,171324,736,7549,5,95
  May 10  ,171879,555,7569,4.98,95.02
  May 11  ,172576,697,7661,5,95
  May 12  ,173171,595,7738,4.99,95.01
  May 13  ,174098,927,7861,5.02,94.98
  May 14  ,174975,877,7928,5.01,94.99
  May 15  ,175699,724,8001,5.01,94.99
  May 16  ,176244,545,8027,5,95
  May 17  ,176651,407,8049,4.99,95.01
  May 18  ,177289,638,8123,4.99,95.01
  May 19  ,177827,538,8193,5,95
  May 20  ,178531,704,8270,5.01,94.99
  May 21  ,179021,490,8309,5,95
  May 22  ,179713,692,8352,4.99,95.01
  May 23  ,179986,273,8366,4.97,95.03
  May 24  ,180328,342,8371,4.96,95.04
  May 25  ,180789,461,8428,4.97,95.03
  May 26  ,181288,499,8498,4.98,95.02
  May 27  ,181895,607,8533,4.98,95.02
  May 28  ,182452,557,8570,4.99,95.01
  May 29  ,183019,567,8594,4.98,95.02
  May 30  ,183294,275,8600,4.96,95.04
  May 31  ,183494,200,8605,4.95,95.05
