DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,3,0,0,0,100
  Feb 16  ,3,0,0,0,100
  Feb 17  ,3,0,0,0,100
  Feb 18  ,3,0,0,0,100
  Feb 19  ,3,0,0,0,100
  Feb 20  ,3,0,0,0,100
  Feb 21  ,3,0,0,0,100
  Feb 22  ,3,0,0,0,100
  Feb 23  ,3,0,0,0,100
  Feb 24  ,3,0,0,0,100
  Feb 25  ,3,0,0,0,100
  Feb 26  ,3,0,0,0,100
  Feb 27  ,3,0,0,0,100
  Feb 28  ,3,0,0,0,100
  Feb 29  ,3,0,0,0,100
  Mar 01  ,3,0,0,0,100
  Mar 02  ,6,3,0,0,100
  Mar 03  ,7,1,0,0,100
  Mar 04  ,29,22,0,0,100
  Mar 05  ,30,1,0,0,100
  Mar 06  ,31,1,0,0,100
  Mar 07  ,34,3,0,0,100
  Mar 08  ,40,6,0,0,100
  Mar 09  ,47,7,0,0,100
  Mar 10  ,62,15,0,0,100
  Mar 11  ,62,0,0,0,100
  Mar 12  ,74,12,1,20,80
  Mar 13  ,82,8,2,16.67,83.33
  Mar 14  ,100,18,2,16.67,83.33
  Mar 15  ,114,14,2,13.33,86.67
  Mar 16  ,129,15,2,13.33,86.67
  Mar 17  ,143,14,3,17.65,82.35
  Mar 18  ,169,26,3,17.65,82.35
  Mar 19  ,194,25,4,16.67,83.33
  Mar 20  ,249,55,5,17.86,82.14
  Mar 21  ,332,83,5,17.86,82.14
  Mar 22  ,396,64,7,22.58,77.42
  Mar 23  ,499,103,10,22.73,77.27
  Mar 24  ,536,37,10,20,80
  Mar 25  ,657,121,12,21.82,78.18
  Mar 26  ,727,70,20,30.77,69.23
  Mar 27  ,887,160,20,21.51,78.49
  Mar 28  ,987,100,24,22.22,77.78
  Mar 29  ,1024,37,27,22.13,77.87
  Mar 30  ,1251,227,32,23.88,76.12
  Mar 31  ,1397,146,35,22.15,77.85
  Apr 01  ,1998,601,58,28.16,71.84
  Apr 02  ,2543,545,72,27.38,72.62
  Apr 03  ,3059,516,86,30.94,69.06
  Apr 04  ,3588,529,99,30.18,69.82
  Apr 05  ,4289,701,118,26.46,73.54
  Apr 06  ,4778,489,136,26.61,73.39
  Apr 07  ,5351,573,160,25.48,74.52
  Apr 08  ,5916,565,178,26.02,73.98
  Apr 09  ,6725,809,227,26.33,73.67
  Apr 10  ,7600,875,249,24.34,75.66
  Apr 11  ,8446,846,288,22.91,77.09
  Apr 12  ,9205,759,331,23.46,76.54
  Apr 13  ,10453,1248,358,23.26,76.74
  Apr 14  ,11487,1034,393,22.43,77.57
  Apr 15  ,12370,883,422,21.87,78.13
  Apr 16  ,13430,1060,448,20.22,79.78
  Apr 17  ,14352,922,486,19.23,80.77
  Apr 18  ,16365,2013,521,17.46,82.54
  Apr 19  ,17615,1250,559,16.38,83.62
  Apr 20  ,18539,924,592,15.32,84.68
  Apr 21  ,20080,1541,645,13.96,86.04
  Apr 22  ,21370,1290,681,13.48,86.52
  Apr 23  ,23039,1669,721,12.58,87.42
  Apr 24  ,24447,1408,780,12.43,87.57
  Apr 25  ,26283,1836,825,12.2,87.8
  Apr 26  ,27890,1607,881,11.9,88.1
  Apr 27  ,29451,1561,939,11.63,88.37
  Apr 28  ,31324,1873,1008,11.51,88.49
  Apr 29  ,33062,1738,1079,11.34,88.66
  Apr 30  ,34863,1801,1154,11.29,88.71
  May 01  ,37257,2394,1223,10.89,89.11
  May 02  ,39699,2442,1323,10.9,89.1
  May 03  ,42505,2806,1391,10.57,89.43
  May 04  ,46437,3932,1566,10.87,89.13
  May 05  ,49400,2963,1693,10.69,89.31
  May 06  ,52987,3587,1785,10.43,89.57
  May 07  ,56351,3364,1889,10.12,89.88
  May 08  ,59695,3344,1985,9.99,90.01
  May 09  ,62808,3113,2101,9.82,90.18
  May 10  ,67161,4353,2212,9.54,90.46
  May 11  ,70768,3607,2294,9.23,90.77
  May 12  ,74292,3524,2415,9,91
  May 13  ,78055,3763,2551,8.81,91.19
  May 14  ,81997,3942,2649,8.65,91.35
  May 15  ,85784,3787,2753,8.34,91.66
  May 16  ,90648,4864,2871,7.74,92.26
  May 17  ,95698,5050,3025,7.6,92.4
  May 18  ,100328,4630,3156,7.45,92.55
  May 19  ,106475,6147,3302,7.24,92.76
  May 20  ,112028,5553,3434,7.03,92.97
  May 21  ,118226,6198,3584,6.87,93.13
  May 22  ,124794,6568,3726,6.71,93.29
  May 23  ,131423,6629,3868,6.64,93.36
  May 24  ,138536,7113,4024,6.52,93.48
  May 25  ,144950,6414,4172,6.43,93.57
  May 26  ,150793,5843,4344,6.33,93.67
  May 27  ,158086,7293,4534,6.27,93.73
  May 28  ,165386,7300,4711,6.23,93.77
  May 29  ,173491,8105,4980,5.68,94.32
  May 30  ,181827,8336,5185,5.63,94.37
  May 31  ,190609,8782,5408,5.56,94.44
