DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,3,0,0,0,0
  Feb 16  ,3,0,0,0,0
  Feb 17  ,3,0,0,0,0
  Feb 18  ,3,0,0,0,0
  Feb 19  ,3,0,0,0,0
  Feb 20  ,4,1,0,0,0
  Feb 21  ,21,17,1,50,50
  Feb 22  ,79,58,2,50,50
  Feb 23  ,157,78,3,60,40
  Feb 24  ,229,72,7,87.5,12.5
  Feb 25  ,323,94,11,84.62,15.38
  Feb 26  ,470,147,12,80,20
  Feb 27  ,655,185,17,27.42,72.58
  Feb 28  ,889,234,21,31.34,68.66
  Feb 29  ,1128,239,29,36.71,63.29
  Mar 01  ,1701,573,41,33.06,66.94
  Mar 02  ,2036,335,52,25.87,74.13
  Mar 03  ,2502,466,79,33.05,66.95
  Mar 04  ,3089,587,107,27.94,72.06
  Mar 05  ,3858,769,148,26.33,73.67
  Mar 06  ,4636,778,197,27.36,72.64
  Mar 07  ,5883,1247,233,28.35,71.65
  Mar 08  ,7375,1492,366,37.04,62.96
  Mar 09  ,9172,1797,463,39.01,60.99
  Mar 10  ,10149,977,631,38.59,61.41
  Mar 11  ,12462,2313,827,44.18,55.82
  Mar 12  ,15113,2651,1016,44.68,55.32
  Mar 13  ,17660,2547,1266,46.8,53.2
  Mar 14  ,21157,3497,1441,42.3,57.7
  Mar 15  ,24747,3590,1809,43.65,56.35
  Mar 16  ,27980,3233,2158,43.98,56.02
  Mar 17  ,31506,3526,2503,45.98,54.02
  Mar 18  ,35713,4207,2978,42.52,57.48
  Mar 19  ,41035,5322,3405,43.4,56.6
  Mar 20  ,47021,5986,4032,44.01,55.99
  Mar 21  ,53578,6557,4825,44.28,55.72
  Mar 22  ,59138,5560,5476,43.81,56.19
  Mar 23  ,63927,4789,6077,44.98,55.02
  Mar 24  ,69176,5249,6820,45.03,54.97
  Mar 25  ,74386,5210,7503,44.49,55.51
  Mar 26  ,80589,6203,8215,44.22,55.78
  Mar 27  ,86498,5909,9134,45.48,54.52
  Mar 28  ,92472,5974,10023,44.73,55.27
  Mar 29  ,97689,5217,10779,45.27,54.73
  Mar 30  ,101739,4050,11591,44.22,55.78
  Mar 31  ,105792,4053,12428,44.14,55.86
  Apr 01  ,110574,4782,13155,43.85,56.15
  Apr 02  ,115242,4668,13915,43.22,56.78
  Apr 03  ,119827,4585,14681,42.63,57.37
  Apr 04  ,124632,4805,15362,42.25,57.75
  Apr 05  ,128948,4316,15887,42.14,57.86
  Apr 06  ,132547,3599,16523,41.98,58.02
  Apr 07  ,135586,3039,17127,41.25,58.75
  Apr 08  ,139422,3836,17669,40.01,59.99
  Apr 09  ,143626,4204,18279,39.1,60.9
  Apr 10  ,147577,3951,18849,38.23,61.77
  Apr 11  ,152271,4694,19468,37.44,62.56
  Apr 12  ,156363,4092,19899,36.78,63.22
  Apr 13  ,159516,3153,20465,36.61,63.39
  Apr 14  ,162488,2972,21067,36.2,63.8
  Apr 15  ,165155,2667,21645,36.23,63.77
  Apr 16  ,168941,3786,22170,35.57,64.43
  Apr 17  ,172434,3493,22745,34.74,65.26
  Apr 18  ,175925,3491,23227,34.08,65.92
  Apr 19  ,178972,3047,23660,33.46,66.54
  Apr 20  ,181228,2256,24114,33.04,66.96
  Apr 21  ,183957,2729,24648,32.33,67.67
  Apr 22  ,187327,3370,25085,31.5,68.5
  Apr 23  ,189973,2646,25549,30.74,69.26
  Apr 24  ,192994,3021,25969,30.03,69.97
  Apr 25  ,195351,2357,26384,29.48,70.52
  Apr 26  ,197675,2324,26644,29.1,70.9
  Apr 27  ,199414,1739,26977,28.82,71.18
  Apr 28  ,201505,2091,27359,28.41,71.59
  Apr 29  ,203591,2086,27682,27.98,72.02
  Apr 30  ,205463,1872,27967,26.91,73.09
  May 01  ,207428,1965,28236,26.52,73.48
  May 02  ,209328,1900,28710,26.43,73.57
  May 03  ,210717,1389,28884,26.13,73.87
  May 04  ,211938,1221,29079,25.97,74.03
  May 05  ,213013,1075,29315,25.59,74.41
  May 06  ,214457,1444,29684,24.15,75.85
  May 07  ,215858,1401,29958,23.73,76.27
  May 08  ,217185,1327,30201,23.37,76.63
  May 09  ,218268,1083,30395,22.78,77.22
  May 10  ,219070,802,30560,22.51,77.49
  May 11  ,219814,744,30739,22.38,77.62
  May 12  ,221216,1402,30911,22.09,77.91
  May 13  ,222104,888,31106,21.65,78.35
  May 14  ,223096,992,31368,21.39,78.61
  May 15  ,223885,789,31610,20.82,79.18
  May 16  ,224760,875,31763,20.55,79.45
  May 17  ,225435,675,31908,20.31,79.69
  May 18  ,225886,451,32007,20.09,79.91
  May 19  ,226699,813,32169,19.91,80.09
  May 20  ,227364,665,32330,19.64,80.36
  May 21  ,228006,642,32486,19.45,80.55
  May 22  ,228658,652,32616,19.26,80.74
  May 23  ,229327,669,32735,19.08,80.92
  May 24  ,229858,531,32785,18.92,81.08
  May 25  ,230158,300,32877,18.8,81.2
  May 26  ,230555,397,32955,18.55,81.45
  May 27  ,231139,584,33072,18.36,81.64
  May 28  ,231732,593,33142,18.04,81.96
  May 29  ,232248,516,33229,17.86,82.14
  May 30  ,232664,416,33340,17.64,82.36
  May 31  ,232997,333,33415,17.5,82.5
