DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,2,0,0,0,100
  Feb 16  ,2,0,0,0,100
  Feb 17  ,2,0,0,0,100
  Feb 18  ,2,0,0,0,100
  Feb 19  ,2,0,0,0,100
  Feb 20  ,2,0,0,0,100
  Feb 21  ,2,0,0,0,100
  Feb 22  ,2,0,0,0,100
  Feb 23  ,2,0,0,0,100
  Feb 24  ,3,1,0,0,100
  Feb 25  ,9,6,0,0,100
  Feb 26  ,13,4,0,0,100
  Feb 27  ,25,12,0,0,100
  Feb 28  ,33,8,0,0,100
  Feb 29  ,58,25,0,0,100
  Mar 01  ,84,26,0,0,100
  Mar 02  ,120,36,0,0,100
  Mar 03  ,165,45,1,33.33,66.67
  Mar 04  ,228,63,2,50,50
  Mar 05  ,282,54,3,50,50
  Mar 06  ,401,119,8,57.14,42.86
  Mar 07  ,525,124,10,25,75
  Mar 08  ,674,149,17,34.69,65.31
  Mar 09  ,1231,557,30,48.39,51.61
  Mar 10  ,1695,464,36,21.05,78.95
  Mar 11  ,2277,582,55,23.11,76.89
  Mar 12  ,3146,869,86,31.27,68.73
  Mar 13  ,5232,2086,133,40.8,59.2
  Mar 14  ,6391,1159,196,27.49,72.51
  Mar 15  ,7988,1597,294,36.25,63.75
  Mar 16  ,9942,1954,342,39.22,60.78
  Mar 17  ,11826,1884,533,34.14,65.86
  Mar 18  ,14769,2943,638,37.11,62.89
  Mar 19  ,18077,3308,831,42.88,57.12
  Mar 20  ,21571,3494,1093,40.77,59.23
  Mar 21  ,25496,3925,1381,39.39,60.61
  Mar 22  ,28768,3272,1772,40.76,59.24
  Mar 23  ,35136,6368,2311,40.79,59.21
  Mar 24  ,42058,6922,2991,44.08,55.92
  Mar 25  ,49515,7457,3647,40.46,59.54
  Mar 26  ,57786,8271,4365,38.36,61.64
  Mar 27  ,65719,7933,5138,35.45,64.55
  Mar 28  ,73235,7516,5982,32.75,67.25
  Mar 29  ,80110,6875,6803,31.62,68.38
  Mar 30  ,87956,7846,7716,31.5,68.5
  Mar 31  ,95923,7967,8464,30.53,69.47
  Apr 01  ,104118,8195,9387,29.3,70.7
  Apr 02  ,112065,7947,10348,27.9,72.1
  Apr 03  ,119199,7134,11198,26.85,73.15
  Apr 04  ,126168,6969,11947,25.88,74.12
  Apr 05  ,131646,5478,12641,24.92,75.08
  Apr 06  ,136675,5029,13341,24.81,75.19
  Apr 07  ,141942,5267,14045,24.53,75.47
  Apr 08  ,148220,6278,14792,23.55,76.45
  Apr 09  ,153222,5002,15447,22.85,77.15
  Apr 10  ,158273,5051,16081,22.41,77.59
  Apr 11  ,163027,4754,16606,21.93,78.07
  Apr 12  ,166831,3804,17209,21.62,78.38
  Apr 13  ,170099,3268,17756,21.53,78.47
  Apr 14  ,174060,3961,18255,21.29,78.71
  Apr 15  ,180659,6599,18812,20.98,79.02
  Apr 16  ,184948,4289,19130,20.37,79.63
  Apr 17  ,190839,5891,19478,20.66,79.34
  Apr 18  ,194416,3577,20043,20.87,79.13
  Apr 19  ,198674,4258,20453,20.38,79.62
  Apr 20  ,200210,1536,20852,20.29,79.71
  Apr 21  ,204178,3968,21282,20.23,79.77
  Apr 22  ,208389,4211,21717,19.93,80.07
  Apr 23  ,213024,4635,22157,19.62,80.38
  Apr 24  ,219764,6740,22524,17.11,82.89
  Apr 25  ,223759,3995,22902,16.78,83.22
  Apr 26  ,226629,2870,23190,16.46,83.54
  Apr 27  ,229422,2793,23521,16.29,83.71
  Apr 28  ,232128,2706,23822,16.13,83.87
  Apr 29  ,236899,4771,24275,15.44,84.56
  Apr 30  ,239340,2441,24543,15.1,84.9
  May 01  ,242979,3639,24824,14.84,85.16
  May 02  ,245589,2610,25100,14.65,85.35
  May 03  ,247122,1533,25264,14.53,85.47
  May 04  ,248301,1179,25428,14.36,85.64
  May 05  ,250561,2260,25613,14.2,85.8
  May 06  ,253682,3121,25857,13.96,86.04
  May 07  ,256855,3173,26070,13.72,86.28
  May 08  ,260117,3262,26299,13.51,86.49
  May 09  ,262783,2666,26478,13.26,86.74
  May 10  ,264663,1880,26621,13.11,86.89
  May 11  ,268143,3480,26744,13.07,86.93
  May 12  ,269520,1377,26920,12.98,87.02
  May 13  ,271095,1575,27104,12.89,87.11
  May 14  ,272646,1551,27321,12.78,87.22
  May 15  ,274367,1721,27459,12.69,87.31
  May 16  ,276505,2138,27563,12.54,87.46
  May 17  ,277719,1214,27650,12.37,87.63
  May 18  ,278188,469,27709,12.33,87.67
  May 19  ,278803,615,27778,12.36,87.64
  May 20  ,279524,721,27888,12.4,87.6
  May 21  ,280117,593,27940,12.42,87.58
  May 22  ,281904,1787,28628,12.69,87.31
  May 23  ,282370,466,28678,12.71,87.29
  May 24  ,282852,482,28752,12.74,87.26
  May 25  ,282480,-372,26837,11.99,88.01
  May 26  ,283339,859,27117,12.1,87.9
  May 27  ,283849,510,27118,12.1,87.9
  May 28  ,284986,1137,27119,12.1,87.9
  May 29  ,285644,658,27121,12.1,87.9
  May 30  ,286308,664,27125,12.1,87.9
  May 31  ,286509,201,27127,12.11,87.89
