DATE,CASES,Daily Cases,Deaths,Death Rate,Recovery Rate
  Feb 15  ,15,null,0,0,100
  Feb 16  ,15,0,0,0,100
  Feb 17  ,15,0,0,0,100
  Feb 18  ,15,0,0,0,100
  Feb 19  ,15,0,0,0,100
  Feb 20  ,15,0,0,0,100
  Feb 21  ,35,20,0,0,100
  Feb 22  ,35,0,0,0,100
  Feb 23  ,35,0,0,0,100
  Feb 24  ,53,18,0,0,100
  Feb 25  ,57,4,0,0,100
  Feb 26  ,60,3,0,0,100
  Feb 27  ,60,0,0,0,100
  Feb 28  ,63,3,0,0,100
  Feb 29  ,68,5,1,12.5,87.5
  Mar 01  ,75,7,1,10,90
  Mar 02  ,100,25,6,40,60
  Mar 03  ,124,24,9,50,50
  Mar 04  ,158,34,11,55,45
  Mar 05  ,221,63,12,57.14,42.86
  Mar 06  ,319,98,15,50,50
  Mar 07  ,435,116,19,55.88,44.12
  Mar 08  ,541,106,22,59.46,40.54
  Mar 09  ,704,163,26,63.41,36.59
  Mar 10  ,994,290,30,66.67,33.33
  Mar 11  ,1301,307,38,71.7,28.3
  Mar 12  ,1630,329,41,83.67,16.33
  Mar 13  ,2183,553,48,84.21,15.79
  Mar 14  ,2771,588,58,54.21,45.79
  Mar 15  ,3617,846,73,54.89,45.11
  Mar 16  ,4604,987,95,55.88,44.12
  Mar 17  ,6357,1753,121,53.07,46.93
  Mar 18  ,9317,2960,171,60,40
  Mar 19  ,13898,4581,239,68.29,31.71
  Mar 20  ,19551,5653,309,67.32,32.68
  Mar 21  ,24418,4867,374,68.25,31.75
  Mar 22  ,33840,9422,509,73.77,26.23
  Mar 23  ,44189,10349,689,69.6,30.4
  Mar 24  ,55398,11209,957,70.68,29.32
  Mar 25  ,68905,13507,1260,75.27,24.73
  Mar 26  ,86379,17474,1614,46.02,53.98
  Mar 27  ,105217,18838,2110,45.19,54.81
  Mar 28  ,124788,19571,2754,45.73,54.27
  Mar 29  ,144980,20192,3251,41.43,58.57
  Mar 30  ,168177,23197,4066,42.29,57.71
  Mar 31  ,193353,25176,5151,41.36,58.64
  Apr 01  ,220295,26942,6394,41.71,58.29
  Apr 02  ,250708,30413,7576,41.94,58.06
  Apr 03  ,283477,32769,8839,41.65,58.35
  Apr 04  ,317994,34517,10384,41.03,58.97
  Apr 05  ,343747,25753,11793,39.48,60.52
  Apr 06  ,375348,31601,13298,40.12,59.88
  Apr 07  ,409225,33877,15526,41.51,58.49
  Apr 08  ,441569,32344,17691,43.59,56.41
  Apr 09  ,475515,33946,19802,43.3,56.7
  Apr 10  ,509604,34089,22038,44.65,55.35
  Apr 11  ,539942,30338,24062,44.14,55.86
  Apr 12  ,567708,27766,25789,44.14,55.86
  Apr 13  ,594693,26985,27515,42.68,57.32
  Apr 14  ,621953,27260,30081,43.66,56.34
  Apr 15  ,652474,30521,32712,40.18,59.82
  Apr 16  ,682454,29980,34905,37.77,62.23
  Apr 17  ,714822,32368,37448,38.23,61.77
  Apr 18  ,743901,29079,39331,36.36,63.64
  Apr 19  ,770014,26113,40901,36.11,63.89
  Apr 20  ,798145,28131,42853,36.62,63.38
  Apr 21  ,824229,26084,45536,34.81,65.19
  Apr 22  ,854385,30156,47894,35.35,64.65
  Apr 23  ,886274,31889,50234,35.6,64.4
  Apr 24  ,925232,38958,52191,31.29,68.71
  Apr 25  ,960651,35419,54256,30.61,69.39
  Apr 26  ,987160,26509,55412,30.85,69.15
  Apr 27  ,1010356,23196,56795,28.14,71.86
  Apr 28  ,1035765,25409,59265,28.47,71.53
  Apr 29  ,1064194,28429,61655,28.49,71.51
  Apr 30  ,1095023,30829,63856,28.49,71.51
  May 01  ,1131030,36007,65753,27.87,72.13
  May 02  ,1160774,29744,67444,26.98,73.02
  May 03  ,1188122,27348,68597,26.72,73.28
  May 04  ,1212835,24713,69921,26.04,73.96
  May 05  ,1237633,24798,72271,25.44,74.56
  May 06  ,1263092,25459,74799,24.97,75.03
  May 07  ,1292623,29531,76928,25.09,74.91
  May 08  ,1321785,29162,78615,24.88,75.12
  May 09  ,1347309,25524,80037,24.1,75.9
  May 10  ,1367638,20329,80787,23.96,76.04
  May 11  ,1385834,18196,81847,23.79,76.21
  May 12  ,1408636,22802,83718,22,78
  May 13  ,1430347,21711,85540,21.61,78.39
  May 14  ,1457593,27246,87293,21.54,78.46
  May 15  ,1484285,26692,88895,21.34,78.66
  May 16  ,1507773,23488,90113,20.99,79.01
  May 17  ,1527664,19891,90978,20.8,79.2
  May 18  ,1550294,22630,91981,20.51,79.49
  May 19  ,1570583,20289,93533,20.48,79.52
  May 20  ,1592722,22139,94936,20.33,79.67
  May 21  ,1620897,28175,96347,19.99,80.01
  May 22  ,1644899,24002,97645,18.29,81.71
  May 23  ,1666828,21929,98678,17.95,82.05
  May 24  ,1686436,19608,99293,17.84,82.16
  May 25  ,1706226,19790,99798,17.46,82.54
  May 26  ,1725257,19031,100572,17.07,82.93
  May 27  ,1745803,20546,102107,16.95,83.05
  May 28  ,1768461,22658,103330,16.83,83.17
  May 29  ,1793530,25069,104542,16.75,83.25
  May 30  ,1816820,23290,105557,16.47,83.53
  May 31  ,1837170,20350,106195,15.04,84.96
